exercise_name;Primary Muscle;library_id;exercise_video_link;exercise_description
Ab Wheel Iso;Core;1;https://www.youtube.com/watch?v=1vDicD_tr9M;Hold ab wheel position for core engagement.
Ab Wheel Rollout;Core;2;https://www.youtube.com/watch?v=9ZCoAbI7uX0;Extend fully using ab wheel, engage core to return.
Adductor Mobilization;Legs;3;https://www.youtube.com/watch?v=hS82gl2Ea8g;Mobilize hip adductors for better flexibility.
Alternating Barbell Split Jump;Legs;4;https://www.youtube.com/watch?v=fiFvoKrHxng;Explosive split jump while alternating legs.
Alternating Bodyweight Split Jump;Legs;5;https://www.youtube.com/watch?v=ZiupDCper-M;Jump and switch legs, working lower body power.
Alternating Dumbbell Bench Press;Chest;6;https://www.youtube.com/watch?v=p8A3oaWhU6U;Press dumbbells alternately while lying on bench.
Alternating Dumbbell Curl;Arms;7;https://www.youtube.com/watch?v=iixND1P2lik;Curl dumbbells alternately to work biceps.
Alternating Dumbell Split Jump;Legs;8;https://www.youtube.com/watch?v=e3hCZpHeEZ4;Jump and switch legs, holding dumbbells.
Alternating Lateral Lunge Walk;Legs;9;https://www.youtube.com/watch?v=-mLAtXQLiTE;Step laterally, alternating sides, engaging leg muscles.
Alternating Single Leg V-Up;Core;10;https://www.youtube.com/watch?v=0EIDVDbzVNo;Lift alternating legs while performing V-Up motion.
American KB Swing;Back, Shoulders;11;https://www.youtube.com/watch?v=E6GoQYuZZT4;Swing kettlebell overhead, engaging core and hips.
Anchored Reverse Crunch;Core;12;https://www.youtube.com/watch?v=fcvdXzWoogg;Crunch upward while keeping legs anchored.
Anchored Sit Up;Core;13;https://www.youtube.com/watch?v=CBL_WRQjvuY;Perform sit-up while keeping feet anchored.
Anderson Front Squat;Legs;14;https://www.youtube.com/watch?v=wFbJajvBZzY;Squat from pins, starting at the bottom.
Anti-Rotation Core Activation;Core;15;https://www.youtube.com/watch?v=8KNHP0mN9Lc;Resist rotation to engage core muscles.
Archer Squats;Legs;16;https://www.youtube.com/watch?v=p4tsleylZB8;Squat, alternating side lunges to challenge legs.
Arms Across Stretch;Arms, Shoulders;17;https://www.youtube.com/watch?v=-1K0m5ywRcY;Stretch arms across chest to release tension.
Arnold Press;Shoulders;18;https://www.youtube.com/watch?v=3ml7BH7mNwQ;Press dumbbells overhead, rotating palms as you press.
Arnold Shoulder Press;Shoulders;19;https://www.youtube.com/watch?v=6Z15_WdXmVw;Shoulder press with palms rotating inward.
Around the World Squat;Legs;20;https://www.youtube.com/watch?v=xbj6TtFJgIY;Squat while moving weight in circular motion.
Around the Worlds (weight optional);Core;21;https://www.youtube.com/watch?v=9uqGfOvtqn0;Rotate arms holding weight around body.
Assisted Bodyweight Squat to Box;Legs;22;https://www.youtube.com/watch?v=WnADyvqlfDg;Squat with assistance to a box for controlled movement.
Assisted Chin-Ups;Back;23;https://www.youtube.com/watch?v=A-uiFTIsgRg;Use assistance to perform chin-ups.
Assisted Lateral Squat;Legs;24;https://www.youtube.com/watch?v=wTQ_wwE-ZuI;Squat laterally with assistance for balance.
Assisted Nordic Curls;Legs;25;https://www.youtube.com/watch?v=49Uozp9wfik;Perform Nordic curls with assistance to target hamstrings.
Assisted Pull-ups;Back;26;https://www.youtube.com/watch?v=wFj808u2HWU;Use assistance to perform pull-ups.
Assisted Reverse Lunge With Blocked Knee;Legs;27;https://www.youtube.com/watch?v=a2BOfZ1Ll8E;Lunge back with assistance, block knee at floor.
Back Extension;Back;28;https://www.youtube.com/watch?v=H8Swl1N-uis;Engage lower back muscles by lifting torso off the floor.
Back Extension to Y's;Back;29;https://www.youtube.com/watch?v=ph3pddpKzzw&pp=ygUVQmFjayBFeHRlbnNpb24gdG8gWSdz;Extend arms to form a Y shape while lifting torso.
Back Lunge into Kickback;Legs;30;https://www.youtube.com/watch?v=rkpvx4DuJJI&pp=ygUYQmFjayBMdW5nZSBpbnRvIEtpY2tiYWNr;Lunge back, then kick back while engaging glutes.
Back Squat;Legs;31;https://www.youtube.com/watch?v=ultWZbUMPL8&pp=ygUKQmFjayBTcXVhdA%3D%3D;Place barbell on shoulders, squat while keeping form.
Back-Supported Pullover;Back;32;https://www.youtube.com/watch?v=FK4rHfWKEac&pp=ygUXQmFjay1TdXBwb3J0ZWQgUHVsbG92ZXI%3D;Engage upper back and chest while extending arms.
Backward Walking;Legs;33;https://www.youtube.com/watch?v=zWTQ9UPsmf4&pp=ygUXQmFja3dhcmQgV2Fsa2luZyB1cGhpbGw%3D;Walk backward to challenge balance and coordination.
Ball Slam To Jump;Legs;34;https://www.youtube.com/watch?v=zLDENYTNhHg&pp=ygURQmFsbCBTbGFtIFRvIEp1bXA%3D;Slam medicine ball, then jump, engaging full body.
Ball Squat to Press;Legs;35;https://www.youtube.com/watch?v=GyTTtBAvc4s&pp=ygUTQmFsbCBTcXVhdCB0byBQcmVzcw%3D%3D;Squat while pressing medicine ball overhead.
